ID number,Suspended,Quiz:Quiz1 - 1.1 DefineSymbol (Real),Quiz:Quiz2 - 1.1 DefineSymbol (Real),Quiz:Quiz3 - 1.1 DefineSymbol (Real),Quiz:Quiz4 - 1.1 DefineSymbol (Real),Quiz:Quiz5 - 1.1 DefineSymbol (Real),Quiz:Quiz6 - 1.1 DefineSymbol (Real),Quiz:Quiz7 - 1.1 DefineSymbol (Real),Quiz:Quiz8 - 1.1 DefineSymbol (Real),Quiz:Quiz9 - 1.1 DefineSymbol (Real),Quiz:Quiz10 - 1.1 DefineSymbol (Real),Quiz:Quiz11 - 1.1 DefineSymbol (Real),1.1 DefineSymbol total (Real),Quiz:Quiz1 - 1.2 GiveSymbol (Real),Quiz:Quiz2 - 1.2 GiveSymbol (Real),Quiz:Quiz3 - 1.2 GiveSymbol (Real),Quiz:Quiz4 - 1.2 GiveSymbol (Real),Quiz:Quiz5 - 1.2 GiveSymbol (Real),Quiz:Quiz6 - 1.2 GiveSymbol (Real),Quiz:Quiz7 - 1.2 GiveSymbol (Real),Quiz:Quiz8 - 1.2 GiveSymbol (Real),Quiz:Quiz9 - 1.2 GiveSymbol (Real),Quiz:Quiz10 - 1.2 GiveSymbol (Real),Quiz:Quiz11 - 1.2 GiveSymbol (Real),1.2 GiveSymbol total (Real),Quiz:Quiz1 - 2.1 TranscribeMulti (Real),Quiz:Quiz2 - 2.1 TranscribeMulti (Real),Quiz:Quiz3 - 2.1 TranscribeMulti (Real),Quiz:Quiz4 - 2.1 TranscribeMulti (Real),Quiz:Quiz5 - 2.1 TranscribeMulti (Real),Quiz:Quiz6 - 2.1 TranscribeMulti (Real),Quiz:Quiz7 - 2.1 TranscribeMulti (Real),Quiz:Quiz8 - 2.1 TranscribeMulti (Real),Quiz:Quiz9 - 2.1 TranscribeMulti (Real),Quiz:Quiz10 - 2.1 TranscribeMulti (Real),Quiz:Quiz11 - 2.1 TranscribeMulti (Real),2.1 TranscribeMulti total (Real),Quiz:Quiz1 - 2.2 TranscribeC (Real),Quiz:Quiz2 - 2.2 TranscribeC (Real),Quiz:Quiz3 - 2.2 TranscribeC (Real),Quiz:Quiz4 - 2.2 TranscribeC (Real),Quiz:Quiz5 - 2.2 TranscribeC (Real),Quiz:Quiz6 - 2.2 TranscribeC (Real),Quiz:Quiz7 - 2.2 TranscribeC (Real),Quiz:Quiz8 - 2.2 TranscribeC (Real),Quiz:Quiz9 - 2.2 TranscribeC (Real),Quiz:Quiz10 - 2.2 TranscribeC (Real),Quiz:Quiz11 - 2.2 TranscribeC (Real),2.2 TranscribeC total (Real),Quiz:Quiz1 - 2.3 TranscribeV (Real),Quiz:Quiz2 - 2.3 TranscribeV (Real),Quiz:Quiz3 - 2.3 TranscribeV (Real),Quiz:Quiz4 - 2.3 TranscribeV (Real),Quiz:Quiz5 - 2.3 TranscribeV (Real),Quiz:Quiz6 - 2.3 TranscribeV (Real),Quiz:Quiz7 - 2.3 TranscribeV (Real),Quiz:Quiz8 - 2.3 TranscribeV (Real),Quiz:Quiz9 - 2.3 TranscribeV (Real),Quiz:Quiz10 - 2.3 TranscribeV (Real),Quiz:Quiz11 - 2.3 TranscribeV (Real),2.3 TranscribeV total (Real),Quiz:Quiz7 - 2.4 TranscribeTone (Real),Quiz:Quiz8 - 2.4 TranscribeTone (Real),Quiz:Quiz9 - 2.4 TranscribeTone (Real),Quiz:Quiz10 - 2.4 TranscribeTone (Real),Quiz:Quiz11 - 2.4 TranscribeTone (Real),Assignment:Ibibio transcription assignment (Real),2.4 TranscribeTone total (Real),Quiz:Quiz1 - 2.5 TranscribeKnown (Real),Quiz:Quiz2 - 2.5 TranscribeKnown (Real),Quiz:Quiz3 - 2.5 TranscribeKnown (Real),Quiz:Quiz4 - 2.5 TranscribeKnown (Real),Quiz:Quiz5 - 2.5 TranscribeKnown (Real),Quiz:Quiz6 - 2.5 TranscribeKnown (Real),Quiz:Quiz7 - 2.5 TranscribeKnown (Real),Quiz:Quiz8 - 2.5 TranscribeKnown (Real),Quiz:Quiz9 - 2.5 TranscribeKnown (Real),Quiz:Quiz10 - 2.5 TranscribeKnown (Real),Quiz:Quiz11 - 2.5 TranscribeKnown (Real),Assignment:Kannada transcription submission (Real),Assignment:Asynchronous Kannada transcription submission (Real),Assignment:Japanese-accented English transcription (Real),2.5 TranscribeKnown total (Real),Quiz:Quiz3 - 3.1 ReadVocalTract (Real),Quiz:Quiz4 - 3.1 ReadVocalTract (Real),Quiz:Quiz5 - 3.1 ReadVocalTract (Real),Quiz:Quiz6 - 3.1 ReadVocalTract (Real),Quiz:Quiz7 - 3.1 ReadVocalTract (Real),Quiz:Quiz8 - 3.1 ReadVocalTract (Real),Quiz:Quiz9 - 3.1 ReadVocalTract (Real),Quiz:Quiz10 - 3.1 ReadVocalTract (Real),Quiz:Quiz11 - 3.1 ReadVocalTract (Real),3.1 ReadVocalTract total (Real),Quiz:Quiz4 - 3.2 GesturalScore (Real),Quiz:Quiz5 - 3.2 GesturalScore (Real),Quiz:Quiz6 - 3.2 GesturalScore (Real),Quiz:Quiz7 - 3.2 GesturalScore (Real),Quiz:Quiz8 - 3.2 GesturalScore (Real),Quiz:Quiz9 - 3.2 GesturalScore (Real),Quiz:Quiz10 - 3.2 GesturalScore (Real),Quiz:Quiz11 - 3.2 GesturalScore (Real),3.2 GesturalScore total (Real),Quiz:Quiz6 - 4.1 SegmentSpectro (Real),Quiz:Quiz7 - 4.1 SegmentSpectro (Real),Quiz:Quiz8 - 4.1 SegmentSpectro (Real),Quiz:Quiz9 - 4.1 SegmentSpectro (Real),Quiz:Quiz10 - 4.1 SegmentSpectro (Real),Quiz:Quiz11 - 4.1 SegmentSpectro (Real),4.1 SegmentSpectro total (Real),Quiz:Quiz6 - 4.2 ReadSpectro (Real),Quiz:Quiz7 - 4.2 ReadSpectro (Real),Quiz:Quiz8 - 4.2 ReadSpectro (Real),Quiz:Quiz9 - 4.2 ReadSpectro (Real),Quiz:Quiz10 - 4.2 ReadSpectro (Real),Quiz:Quiz11 - 4.2 ReadSpectro (Real),Assignment:Formant plots (Real),4.2 ReadSpectro total (Real),Quiz:Quiz6 - 4.3 IdentifyDisplay (Real),Quiz:Quiz7 - 4.3 IdentifyDisplay (Real),Quiz:Quiz8 - 4.3 IdentifyDisplay (Real),Quiz:Quiz9 - 4.3 IdentifyDisplay (Real),Quiz:Quiz10 - 4.3 IdentifyDisplay (Real),Quiz:Quiz11 - 4.3 IdentifyDisplay (Real),4.3 IdentifyDisplay total (Real),Quiz:Quiz6 - 4.4 ReadFrequency (Real),Quiz:Quiz7 - 4.4 ReadFrequency (Real),Quiz:Quiz8 - 4.4 ReadFrequency (Real),Quiz:Quiz9 - 4.4 ReadFrequency (Real),Quiz:Quiz10 - 4.4 ReadFrequency (Real),Quiz:Quiz11 - 4.4 ReadFrequency (Real),4.4 ReadFrequency total (Real),Quiz:Quiz6 - 4.5 HarmonicsFormants (Real),Quiz:Quiz7 - 4.5 HarmonicsFormants (Real),Quiz:Quiz8 - 4.5 HarmonicsFormants (Real),Quiz:Quiz9 - 4.5 HarmonicsFormants (Real),Quiz:Quiz10 - 4.5 HarmonicsFormants (Real),Quiz:Quiz11 - 4.5 HarmonicsFormants (Real),4.5 HarmonicsFormants total (Real),Quiz:Quiz1 - 5 Apply (Real),Quiz:Quiz2 - 5 Apply (Real),Quiz:Quiz3 - 5 Apply (Real),Quiz:Quiz4 - 5 Apply (Real),Quiz:Quiz5 - 5 Apply (Real),Quiz:Quiz6 - 5 Apply (Real),Quiz:Quiz7 - 5 Apply (Real),Quiz:Quiz8 - 5 Apply (Real),Quiz:Quiz9 - 5 Apply (Real),Quiz:Quiz10 - 5 Apply (Real),Quiz:Quiz11 - 5 Apply (Real),5 Apply total (Real),Assignment:Preliminary Report submission (Real),Assignment:Revised recording script (Real),Turnitin Assignment:Term paper (Real),Assignment:Section participation (Real),Assignment:Final audio recording (Real),Assignment:Final video recording (Real),Course total (Real)
40,,-,-,2,3,4,5.83,6.67,-,-,-,-,21.5,-,-,2,1,3,3,6,-,-,-,-,15,-,-,-,-,-,-,-,-,9,17,-,26,-,0,0,1,-,1,2,1,4,2,-,11,-,-,-,-,-,1,2,0,2,-,-,5,-,-,0.67,-,2.33,2.8,5.8,-,-,-,-,-,-,-,-,4,3,5,-,88,0,20.8,0.33,2,-,2,1.67,-,-,-,-,6,-,-,-,-,-,1,3,-,4,-,-,-,0,0,1,1,-,-,2,1,-,-,2.5,5.5,-,2,-,-,-,-,4.5,-,1,2,-,-,-,3,-,-,4,-,-,-,4,-,-,-,-,-,-,-,-,1,1,1,3,3,9,47,1,-,-,71.14
41,,1.5,-,1.75,2.67,4.67,7.08,8,-,-,8.33,7.5,41.5,1,-,2,1,2,3,0,-,-,5,6,20,-,-,-,-,-,-,-,-,-,14,18,32,-,0,0,1,2,0,2,-,-,3,1,9,-,-,-,-,-,-,-,-,-,2,4,6,-,-,-,3.67,4.67,0,8.33,-,-,-,-,-,-,-,-,-,2,2,-,87,7.6,20.3,1,1,3.67,-,3.33,-,-,4,3.67,16.67,-,-,-,-,-,-,2,2,4,-,1.5,-,-,2,2.25,5.75,-,-,-,-,1,2,0,3,-,2,-,-,0,1,3,-,1,-,-,3,0,4,-,4,-,-,2,2,8,-,-,-,-,-,-,-,-,-,1,0,1,3,10,40,0.75,-,-,70.41
42,,2,-,2,3,-,0,7.42,6.67,-,-,-,21.08,2,-,2,2,-,7,6,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,-,1,3,3,3,-,-,11,-,-,-,-,-,4,2,7,-,-,-,13,-,-,-,-,-,2.2,2.2,-,-,-,-,-,-,-,-,4,-,-,99,-,9.6,23.5,1,1.33,-,4,4,-,-,-,-,10.33,-,-,-,-,-,-,-,3,3,-,2,-,2.25,-,-,4.25,-,-,2,1,-,-,3,6,-,2,2,-,-,-,7,-,2,2,-,-,-,4,-,3,2,-,-,-,5,-,-,-,-,-,-,-,-,1,-,0,1,3,10,47,1,-,-,67.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
